Model,Accuracy,Precision,Recall,F1,Average Precision
Standard Logistic Regression,0.9663028001898434,1.0,0.013888888888888888,0.0273972602739726,0.16744104021933667
Balanced Logistic Regression,0.738016136687233,0.07894736842105263,0.625,0.14018691588785046,0.15190128833894465
Random Forest,0.8599905078310394,0.132013201320132,0.5555555555555556,0.21333333333333335,0.1877467826626534
